Index,Time,(vision_recv_data)->pitch
0,0,0
1,0.002682,0
2,0.004629,0
3,0.006577,0
4,0.008557,0
5,0.010937,0
6,0.012328,0
7,0.014273,0
8,0.016221,0
9,0.018166,0
10,0.02077,0
11,0.022721,0
12,0.024668,0
13,0.026992,0
14,0.028406,0
15,0.030713,0
16,0.032666,0
17,0.034611,0
18,0.03656,0
19,0.038505,0
20,0.040453,0
21,0.042808,0
22,0.044222,0
23,0.046173,0
24,0.048774,0
25,0.050722,0
26,0.052674,0
27,0.054621,0
28,0.056801,0
29,0.058235,0
30,0.060302,0
31,0.062253,0
32,0.0642,0
33,0.066145,0
34,0.06875,0
35,0.070695,0
36,0.072839,0
37,0.074304,0
38,0.076384,0
39,0.078331,0
40,0.080276,0
41,0.082229,0
42,0.084176,0
43,0.086779,0
44,0.08912,0
45,0.09057,0
46,0.09289,0
47,0.094186,0
48,0.096786,0
49,0.098734,0
50,0.10068,0
51,0.102633,0
52,0.104578,0
53,0.106948,0
54,0.108355,0
55,0.110301,0
56,0.112253,0
57,0.114198,0
58,0.116803,0
59,0.118748,0
60,0.120695,0
61,0.122171,0
62,0.124453,0
63,0.126405,0
64,0.12835,0
65,0.130297,0
66,0.13225,0
67,0.134197,0
68,0.13704,0
69,0.138476,0
70,0.140517,0
71,0.142469,0
72,0.144417,0
73,0.146362,0
74,0.148311,0
75,0.150256,0
76,0.152209,0
77,0.154562,0
78,0.15664,0
79,0.158585,0
80,0.160533,0
81,0.162848,0
82,0.164142,0
83,0.166742,0
84,0.16869,0
85,0.170174,0
86,0.172457,0
87,0.174408,0
88,0.176353,0
89,0.178301,0
90,0.180247,0
91,0.1822,0
92,0.184801,0
93,0.186349,0
94,0.188711,0
95,0.190779,0
96,0.192731,0
97,0.194679,0
98,0.196625,0
99,0.198573,0
100,0.200518,0
101,0.202471,0
102,0.20482,0
103,0.206233,0
104,0.208185,0
105,0.210785,0
106,0.212739,0
107,0.214685,0
108,0.216632,0
109,0.218577,0
110,0.220956,0
111,0.222373,0
112,0.224319,0
113,0.226266,0
114,0.228213,0
115,0.230161,0
116,0.233106,0
117,0.234395,0
118,0.236749,0
119,0.238159,0
120,0.24076,0
121,0.242713,0
122,0.244659,0
123,0.246607,0
124,0.248552,0
125,0.2505,0
126,0.252868,0
127,0.254264,0
128,0.256215,0
129,0.25816,0
130,0.260764,0
131,0.262715,0
132,0.264662,0
133,0.266608,0
134,0.268963,0
135,0.270377,0
136,0.272328,0
137,0.274276,0
138,0.276222,0
139,0.27817,0
140,0.28077,0
141,0.282758,0
142,0.284249,0
143,0.286531,0
144,0.288767,0
145,0.290714,0
146,0.292666,0
147,0.294614,0
148,0.296559,0
149,0.298506,0
150,0.300455,0
151,0.302811,0
152,0.304221,0
153,0.306524,0
154,0.308471,0
155,0.310419,0
156,0.312371,0
157,0.314316,0
158,0.316265,0
159,0.318635,0
160,0.320691,0
161,0.322641,0
162,0.32459,0
163,0.326536,0
164,0.328483,0
165,0.330431,0
166,0.332383,0
167,0.334712,0
168,0.336772,0
169,0.33872,0
170,0.340667,0
171,0.342619,0
172,0.344565,0
173,0.346512,0
